name,album,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,cluster,pca_x,pca_y,mood
Rip This Joint - Live At The El Mocambo 1977,Live At The El Mocambo,0.0293,0.437,0.948,0.756,0.976,-5.321,0.0943,116.343,0.727,25,1,1.4240577465173065,1.3011886789056175,Happy
Brown Sugar - Live At The El Mocambo 1977,Live At The El Mocambo,0.0482,0.347,0.916,0.0499,0.973,-5.455,0.081,150.435,0.795,25,3,1.5993484604492398,1.0042882544850023,Happy
Jumpin’ Jack Flash - Live At The El Mocambo 1977,Live At The El Mocambo,0.007,0.219,0.915,0.652,0.975,-6.613,0.104,151.344,0.64,27,3,2.253135520543489,0.4769464691314394,Happy
Melody - Live At The El Mocambo 1977,Live At The El Mocambo,0.497,0.494,0.727,0.0,0.894,-7.673,0.0418,126.323,0.729,24,2,-0.4062237670616427,-0.3219630678553219,Happy
Luxury - Live At The El Mocambo 1977,Live At The El Mocambo,0.126,0.568,0.789,0.0515,0.728,-6.731,0.0284,127.512,0.946,24,2,-0.6083336075463862,1.4352491133868148,Happy
Worried About You - Live At The El Mocambo 1977,Live At The El Mocambo,0.511,0.389,0.717,0.00627,0.714,-6.576,0.0263,82.795,0.633,25,0,-0.5709934270571101,-0.6443913897508595,Happy
Start Me Up - Remastered 2021,Tattoo You (Super Deluxe),0.0302,0.555,0.956,0.367,0.0753,-2.147,0.0577,121.752,0.933,39,2,-0.3010275369971455,2.9659316287862425,Happy
Hang Fire - Remastered 2021,Tattoo You (Super Deluxe),0.0136,0.421,0.927,0.0797,0.264,-1.734,0.0345,151.096,0.922,29,2,0.4574647756255596,2.5230705425683797,Happy
Slave - Remastered 2021,Tattoo You (Super Deluxe),0.13,0.558,0.898,0.306,0.0562,-4.314,0.0515,133.338,0.853,29,2,-0.5947520724790816,2.0590456277547458,Happy
Little T&A - Remastered 2021,Tattoo You (Super Deluxe),0.156,0.497,0.953,0.0429,0.667,-1.978,0.0328,135.453,0.801,28,2,0.6840852639840124,1.9525533077239856,Happy
Black Limousine - Remastered 2021,Tattoo You (Super Deluxe),0.122,0.48,0.934,0.198,0.701,-1.382,0.0715,108.894,0.825,25,2,0.9255786020815062,1.8769908472154273,Happy
Neighbours - Remastered 2021,Tattoo You (Super Deluxe),0.0754,0.479,0.981,0.00563,0.245,-1.712,0.071,82.412,0.671,24,2,0.42337479215003937,1.6281339639318033,Happy
Worried About You - Remastered 2021,Tattoo You (Super Deluxe),0.0804,0.423,0.714,0.000517,0.082,-4.01,0.0318,84.351,0.383,26,2,-0.5228611568407503,0.13239379517291314,Mixed
Tops - Remastered 2021,Tattoo You (Super Deluxe),0.0952,0.57,0.826,4.6e-05,0.11,-3.225,0.0457,80.247,0.634,26,2,-0.7742850457738671,1.3004833593930205,Happy
Heaven - Remastered 2021,Tattoo You (Super Deluxe),0.174,0.611,0.559,0.0167,0.132,-5.833,0.0325,114.128,0.111,31,0,-1.2000455450131868,-0.7818787790948799,Mixed
No Use In Crying - Remastered 2021,Tattoo You (Super Deluxe),0.578,0.594,0.609,0.000337,0.229,-3.171,0.0311,142.838,0.404,25,0,-0.9753434331430335,-0.4241753836901183,Mixed
Waiting On A Friend - Remastered 2021,Tattoo You (Super Deluxe),0.0921,0.57,0.86,0.111,0.632,-2.903,0.0315,116.607,0.885,29,2,-0.11350741096160917,2.1094860540526184,Happy
Living In The Heart Of Love,Tattoo You (Super Deluxe),0.00869,0.463,0.925,0.0825,0.0791,-1.392,0.0962,132.485,0.761,26,2,0.6550778927365523,1.9990019805502588,Happy
Fiji Jim,Tattoo You (Super Deluxe),0.0247,0.33,0.96,0.00585,0.044,-1.014,0.204,179.524,0.624,23,3,2.433917869637954,1.1327605089958408,Happy
Troubles A’ Comin,Tattoo You (Super Deluxe),0.0393,0.582,0.926,0.0604,0.0766,-2.732,0.0612,104.892,0.514,26,2,-0.06651953053730376,1.45492115019469,Mixed
"Shame, Shame, Shame",Tattoo You (Super Deluxe),0.00699,0.475,0.908,0.043,0.319,-3.087,0.0419,78.362,0.564,22,2,0.13960870035379674,1.2009935168719743,Mixed
Drift Away,Tattoo You (Super Deluxe),0.0971,0.421,0.674,1.05e-05,0.118,-3.404,0.0589,78.519,0.603,31,2,-0.6497669495593703,0.5776924520400698,Happy
It's A Lie,Tattoo You (Super Deluxe),0.141,0.528,0.978,0.00669,0.406,-2.213,0.119,127.681,0.619,22,2,1.1307117131623605,1.2529750897811576,Happy
Come To The Ball,Tattoo You (Super Deluxe),0.0127,0.44,0.971,0.339,0.371,-2.498,0.0448,136.086,0.735,28,2,0.7604970271912259,2.081468709756092,Happy
"Fast Talking, Slow Walking",Tattoo You (Super Deluxe),0.429,0.436,0.724,0.00274,0.0523,-2.89,0.0313,73.698,0.277,22,0,-0.6439020043111718,-0.6455753635131585,Mixed
Start Me Up,Tattoo You (Super Deluxe),0.00482,0.661,0.879,0.00723,0.303,-2.911,0.0778,125.967,0.659,29,2,-0.03689651115764512,1.846541998376294,Happy
Under My Thumb - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.178,0.374,0.954,0.908,0.988,-7.062,0.0766,140.934,0.582,22,1,1.5748127748574081,0.464954903769288,Mixed
When The Whip Comes Down - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.194,0.382,0.972,0.959,0.67,-6.821,0.102,79.249,0.436,19,1,1.1247430861570047,-0.0037605956607352792,Mixed
Let's Spend The Night Together - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.458,0.382,0.959,0.964,0.955,-5.971,0.124,157.371,0.426,20,1,2.0960308029971775,-0.39751073090103595,Mixed
Shattered - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.376,0.362,0.985,0.501,0.935,-6.276,0.163,162.353,0.289,19,3,2.66804733947325,-0.9433638535848197,Mixed
Neighbours - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.351,0.402,0.969,0.977,0.947,-6.204,0.104,92.289,0.379,18,1,1.5484632734832642,-0.38786026309270294,Mixed
Black Limousine - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.292,0.307,0.963,0.927,0.994,-6.042,0.217,120.546,0.528,18,3,2.8039296784062446,-0.4896134806241812,Mixed
Just My Imagination (Running Away With Me) - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.241,0.314,0.935,0.932,0.944,-6.393,0.0913,117.422,0.61,19,1,1.608424279957587,0.21158927087562185,Happy
Twenty Flight Rock - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.299,0.548,0.968,0.872,0.877,-5.737,0.0581,105.267,0.64,18,1,0.5819859567226219,0.8890111142140097,Happy
Going To A Go-Go - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.458,0.572,0.932,0.773,0.941,-5.955,0.0671,127.818,0.624,19,1,0.5873982317001298,0.4705143651143817,Happy
Chantilly Lace - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.427,0.485,0.952,0.791,0.958,-5.495,0.0605,123.483,0.752,18,1,0.7815709525386276,0.774645132538059,Happy
Let Me Go - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.114,0.286,0.978,0.917,0.903,-6.113,0.135,189.824,0.701,17,1,2.652516094423313,0.7325157795072558,Happy
Time Is On My Side - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.605,0.304,0.831,0.00664,0.89,-6.507,0.0992,174.336,0.473,18,3,1.580149731077352,-1.3352486695812407,Mixed
Beast Of Burden - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.393,0.556,0.882,0.126,0.963,-6.754,0.0496,111.12,0.783,20,2,0.0025871749544987875,0.49788055744526494,Happy
Let It Bleed - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.191,0.492,0.969,0.185,0.904,-6.337,0.0617,129.238,0.784,18,2,0.7854921937797971,1.0025456972621851,Happy
You Can't Always Get What You Want - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.387,0.358,0.843,0.193,0.988,-7.031,0.0851,77.872,0.576,18,3,0.7621568665598601,-0.7475193968112099,Mixed
Band Introductions - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.898,0.345,0.946,0.0514,0.732,-10.683,0.425,78.893,0.0316,15,3,3.0043601086725196,-4.620447530889759,Chill
Little T&A - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.0607,0.423,0.97,0.0516,0.975,-6.179,0.101,78.767,0.463,17,3,1.4715312062241837,-0.026718581185834256,Mixed
Tumbling Dice - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.541,0.446,0.915,0.296,0.966,-6.404,0.0975,117.936,0.526,17,3,1.0679724516559104,-0.6494775399417793,Mixed
She's So Cold - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.219,0.36,0.952,0.673,0.736,-6.579,0.138,168.863,0.618,18,3,1.946807237622307,0.26859383410957693,Happy
Hang Fire - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.228,0.197,0.979,0.712,0.993,-5.8,0.0954,171.766,0.57,17,3,2.686928852800239,0.056602249197242625,Mixed
Miss You - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.255,0.509,0.874,0.104,0.911,-6.823,0.0498,116.717,0.683,19,2,0.31842195737915807,0.3894483851118911,Happy
Honky Tonk Women - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.243,0.412,0.923,0.0509,0.904,-6.532,0.0506,116.167,0.624,18,3,0.8340040400391264,0.1783668148324496,Happy
Brown Sugar - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.303,0.267,0.985,0.344,0.967,-5.808,0.118,146.544,0.321,16,3,2.6354919720684813,-0.8468408700559696,Mixed
Start Me Up - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.489,0.401,0.986,0.666,0.976,-5.755,0.14,138.949,0.493,17,3,2.041489441208912,-0.4420809323481426,Mixed
Jumpin' Jack Flash - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.162,0.227,0.978,0.917,0.986,-6.262,0.103,155.773,0.481,17,3,2.636782007512556,-0.024390142619645,Mixed
(I Can't Get No) Satisfaction - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),0.339,0.245,0.965,0.537,0.96,-5.666,0.0615,169.329,0.51,16,3,2.1931971067386096,-0.1665254531998181,Mixed
Start Me Up - Remastered 2021,Tattoo You,0.0302,0.555,0.956,0.367,0.0753,-2.147,0.0577,121.752,0.933,12,2,-0.05248697832603048,2.5693981398401866,Happy
Hang Fire - Remastered 2021,Tattoo You,0.0136,0.421,0.927,0.0797,0.264,-1.734,0.0345,151.096,0.922,11,2,0.623158481406303,2.258714883271009,Happy
Slave - Remastered 2021,Tattoo You,0.13,0.558,0.898,0.306,0.0562,-4.314,0.0515,133.338,0.853,11,2,-0.42905836669833824,1.794689968457375,Happy
Little T&A - Remastered 2021,Tattoo You,0.156,0.497,0.953,0.0429,0.667,-1.978,0.0328,135.453,0.801,13,2,0.8221633521346318,1.7322569249761768,Happy
Black Limousine - Remastered 2021,Tattoo You,0.122,0.48,0.934,0.198,0.701,-1.382,0.0715,108.894,0.825,9,2,1.0728618961088334,1.642008038951098,Happy
Neighbours - Remastered 2021,Tattoo You,0.0754,0.479,0.981,0.00563,0.245,-1.712,0.071,82.412,0.671,8,2,0.5706580861773669,1.393151155667474,Happy
Worried About You - Remastered 2021,Tattoo You,0.0804,0.423,0.714,0.000517,0.082,-4.01,0.0318,84.351,0.383,10,2,-0.3755778628134229,-0.10258901309141615,Mixed
Tops - Remastered 2021,Tattoo You,0.0952,0.57,0.826,4.6e-05,0.11,-3.225,0.0457,80.247,0.634,9,2,-0.6177965458698317,1.0508141256121708,Happy
Heaven - Remastered 2021,Tattoo You,0.174,0.611,0.559,0.0167,0.132,-5.833,0.0325,114.128,0.111,12,0,-1.0251466333557355,-1.060920863908771,Mixed
No Use In Crying - Remastered 2021,Tattoo You,0.578,0.594,0.609,0.000337,0.229,-3.171,0.0311,142.838,0.404,9,0,-0.8280601391157061,-0.6591581919544476,Mixed
Waiting On A Friend - Remastered 2021,Tattoo You,0.0921,0.57,0.86,0.111,0.632,-2.903,0.0315,116.607,0.885,11,2,0.05218629481913417,1.8451303947552478,Happy
Intro - Live,A Bigger Bang (Live),0.258,0.183,0.967,0.688,0.87,-13.77,0.088,46.525,0.0159,17,3,1.2044635033874684,-2.728215410416155,Mixed
Jumpin’ Jack Flash - Live,A Bigger Bang (Live),0.325,0.258,0.988,0.89,0.969,-4.036,0.106,142.035,0.218,20,3,2.867211277722411,-0.5969922918898054,Mixed
It's Only Rock 'N' Roll (But I Like It) - Live,A Bigger Bang (Live),0.414,0.353,0.995,0.754,0.876,-4.113,0.141,142.961,0.131,19,3,2.7627909526554424,-0.9500782879885965,Mixed
You Got Me Rocking - Live,A Bigger Bang (Live),0.197,0.422,0.971,0.307,0.974,-4.523,0.0987,137.572,0.343,19,3,2.123852551389823,-0.06585106318262407,Mixed
Tumbling Dice - Live,A Bigger Bang (Live),0.436,0.33,0.971,0.478,0.984,-4.435,0.129,125.392,0.263,18,3,2.4739973545088785,-0.9681177123459253,Mixed
"Oh No, Not You Again - Live",A Bigger Bang (Live),0.23,0.359,0.978,0.794,0.979,-4.103,0.147,143.921,0.253,18,3,2.9075628646473075,-0.3853811440815516,Mixed
Wild Horses - Live,A Bigger Bang (Live),0.369,0.287,0.757,0.0,0.729,-6.57,0.0455,78.74,0.452,23,0,0.29161024886457165,-1.0645451204896512,Mixed
Rain Fall Down - Live,A Bigger Bang (Live),0.339,0.449,0.954,0.0285,0.946,-5.158,0.11,100.042,0.374,18,3,1.5327380277059677,-0.5736126935510533,Mixed
Midnight Rambler - Live,A Bigger Bang (Live),0.495,0.291,0.955,0.566,0.817,-5.177,0.192,144.032,0.255,19,3,2.8073658806225112,-1.3987804870462854,Mixed
Night Time Is The Right Time - Live,A Bigger Bang (Live),0.536,0.298,0.965,0.0253,0.951,-3.67,0.118,115.396,0.237,18,3,2.3601079645361707,-1.3521190839495134,Mixed
Band Intros - Live,A Bigger Bang (Live),0.914,0.268,0.838,0.0504,0.953,-8.805,0.164,85.691,0.0327,13,3,1.6228352996566675,-3.887259043589275,Chill
This Place Is Empty - Live,A Bigger Bang (Live),0.337,0.245,0.783,0.00109,0.874,-7.691,0.0552,177.205,0.493,16,3,1.3826397209625358,-1.0286784614752331,Mixed
Happy - Live,A Bigger Bang (Live),0.377,0.229,0.985,0.0322,0.713,-4.765,0.156,137.867,0.164,15,3,2.8594915494210253,-1.5358722935128242,Mixed
Miss You - Live,A Bigger Bang (Live),0.596,0.442,0.979,0.0137,0.82,-4.445,0.143,122.191,0.281,21,3,1.8173649255575326,-1.133663189342764,Mixed
Rough Justice - Live,A Bigger Bang (Live),0.453,0.281,0.993,0.888,0.823,-3.786,0.154,144.554,0.11,16,3,3.079916814061833,-1.1968377454837797,Mixed
Get Off Of My Cloud - Live,A Bigger Bang (Live),0.455,0.357,0.994,0.855,0.8,-3.642,0.187,136.054,0.146,16,3,2.9776419239905323,-1.0885466814522855,Mixed
Honky Tonk Women - Live,A Bigger Bang (Live),0.389,0.396,0.983,0.444,0.951,-4.186,0.0874,124.933,0.339,16,3,1.956474343457568,-0.3784112014965612,Mixed
Sympathy For The Devil - Live,A Bigger Bang (Live),0.313,0.569,0.956,0.138,0.881,-4.486,0.116,110.207,0.387,24,3,1.2584934988723577,-0.0013182809278911639,Mixed
Start Me Up - Live,A Bigger Bang (Live),0.333,0.431,0.983,0.798,0.921,-3.722,0.0856,130.594,0.365,22,1,1.8877387758771387,0.18634642799404202,Mixed
Brown Sugar - Live,A Bigger Bang (Live),0.237,0.377,0.982,0.807,0.989,-3.728,0.116,134.148,0.221,20,3,2.635451124811266,-0.2567709460098567,Mixed
You Can't Always Get What You Want - Live,A Bigger Bang (Live),0.514,0.241,0.902,0.0241,0.95,-4.663,0.0954,176.337,0.384,16,3,2.4153949928421095,-1.1331008410980188,Mixed
(I Can't Get No) Satisfaction - Live,A Bigger Bang (Live),0.241,0.287,0.984,0.907,0.952,-4.119,0.113,142.555,0.112,16,3,3.0179928044941615,-0.7361506383160845,Mixed
Start Me Up - Live,Steel Wheels Live,0.0166,0.475,0.987,0.0239,0.964,-4.37,0.0766,133.137,0.426,23,3,1.8064351940526433,0.6509804286679406,Mixed
Bitch - Live,Steel Wheels Live,0.0298,0.376,0.969,0.0122,0.967,-4.201,0.104,76.705,0.286,19,3,2.039281615442319,-0.23949522771352,Mixed
Sad Sad Sad - Live,Steel Wheels Live,0.0342,0.234,0.972,0.0038,0.97,-4.372,0.0944,157.936,0.256,20,3,3.0070700671290442,-0.38180363014525354,Mixed
Undercover Of The Night - Live,Steel Wheels Live,0.0815,0.347,0.98,0.0,0.974,-4.62,0.201,124.126,0.211,21,3,3.1966426762307374,-0.8394951256713203,Mixed
Harlem Shuffle - Live,Steel Wheels Live,0.0782,0.391,0.963,1.13e-06,0.964,-4.096,0.0907,121.483,0.309,21,3,2.1427556435427286,-0.057340255271967885,Mixed
Tumbling Dice - Live,Steel Wheels Live,0.0606,0.344,0.966,9.58e-06,0.968,-4.091,0.0815,119.526,0.479,19,3,2.055036290612076,0.3055992668151952,Mixed
Miss You - Live,Steel Wheels Live,0.0581,0.435,0.978,0.0169,0.968,-4.532,0.114,122.82,0.337,20,3,2.1781080976119256,0.018656146327713636,Mixed
Terrifying - Live,Steel Wheels Live,0.0678,0.402,0.956,3.63e-05,0.969,-5.325,0.134,136.785,0.362,18,3,2.360197358437953,-0.23715604700161388,Mixed
Ruby Tuesday - Live,Steel Wheels Live,0.659,0.359,0.875,1.19e-05,0.961,-5.184,0.0474,108.143,0.526,22,3,0.7625652220845232,-0.8500749998934052,Mixed
Salt Of The Earth - Live,Steel Wheels Live,0.406,0.254,0.95,0.00073,0.978,-4.915,0.116,92.903,0.292,26,3,2.1229206642175757,-1.213199823391026,Mixed
Rock And A Hard Place - Live,Steel Wheels Live,0.0114,0.4,0.964,0.000308,0.969,-4.498,0.118,135.158,0.268,19,3,2.4954881507719935,-0.16943353842872513,Mixed
Mixed Emotions - Live,Steel Wheels Live,0.0678,0.412,0.971,0.000789,0.974,-4.804,0.0751,136.124,0.527,21,3,1.7890688427843655,0.5557402403208521,Mixed
Honky Tonk Women - Live,Steel Wheels Live,0.0137,0.368,0.987,0.00329,0.96,-4.482,0.115,120.346,0.342,23,3,2.38363115400848,0.03519925591985932,Mixed
Midnight Rambler - Live,Steel Wheels Live,0.108,0.306,0.957,0.0994,0.9,-5.216,0.0984,143.646,0.263,21,3,2.422875502241901,-0.47416214157932296,Mixed
You Can't Always Get What You Want - Live,Steel Wheels Live,0.193,0.228,0.953,0.000442,0.972,-4.733,0.102,88.625,0.48,22,3,2.0809516797868484,-0.3936104983907387,Mixed
Little Red Rooster - Live,Steel Wheels Live,0.157,0.333,0.946,0.0174,0.969,-4.046,0.137,104.578,0.361,19,3,2.3954344295062397,-0.4617916759453308,Mixed
Boogie Chillen - Live,Steel Wheels Live,0.0137,0.421,0.953,0.113,0.971,-5.438,0.152,78.932,0.228,22,3,2.1503006456635494,-0.5535595826117824,Mixed
Can’t Be Seen - Live,Steel Wheels Live,0.000293,0.333,0.961,0.000543,0.951,-5.772,0.146,78.24,0.25,16,3,2.3481551619430108,-0.7868068228271367,Mixed
Happy - Live,Steel Wheels Live,0.0971,0.214,0.958,0.00359,0.935,-4.262,0.114,76.239,0.135,15,3,2.6648040297751536,-1.186106452089171,Mixed
Paint It Black - Live,Steel Wheels Live,0.0041,0.208,0.981,1.76e-05,0.939,-4.233,0.207,166.042,0.126,19,3,4.14251662522492,-1.0728164071853625,Mixed
2000 Light Years From Home / She’s A Rainbow / Keyboard Duet - Live,Steel Wheels Live,0.0303,0.158,0.855,0.0219,0.708,-7.001,0.078,99.535,0.0612,16,3,2.0004265036910818,-1.6646549260174952,Mixed
Sympathy For The Devil - Live,Steel Wheels Live,0.0878,0.481,0.98,0.00235,0.952,-5.127,0.123,110.017,0.28,20,3,1.965408555406792,-0.22453677648907328,Mixed
Gimme Shelter - Live,Steel Wheels Live,0.0194,0.324,0.971,0.000269,0.957,-4.769,0.116,128.288,0.31,19,3,2.5709438662151944,-0.26021997306557076,Mixed
